headcode,origin_location,origin_departure,gps_car_id,total_matching,median_time_error,end,start,iqr_time_error,matched_over_total
2P38,LEEDS,2016-03-30 11:10:00,158755,1,-2.76666666666667,2016-03-30 11:12:46,2016-03-30 11:10:00,0,0.125
2S20,BRADFS,2016-03-30 11:11:00,158907,3,-1.36666666666667,2016-03-30 11:23:12,2016-03-30 11:19:00,3.875,0.2
2H85,APBY,2016-03-30 09:35:00,150137,2,1.6,2016-03-30 11:35:00,2016-03-30 11:32:14,1.16666666666667,0.0740740740740741
2M42,LEEDS,2016-03-30 10:51:00,153301,1,4.6,2016-03-30 11:25:00,2016-03-30 11:20:24,0,0.1
1B18,YORK,2016-03-30 10:27:00,150143,1,-3.9,2016-03-30 11:19:54,2016-03-30 11:16:00,0,0.0555555555555556
2L26,SHEFFLD,2016-03-30 11:06:00,158909,2,2.51666666666667,2016-03-30 11:12:00,2016-03-30 11:07:39,2.16666666666667,0.222222222222222
5M76,RCHDALE,2016-03-29 23:55:00,142037,1,-0.416666666666667,2016-03-30 00:11:25,2016-03-30 00:11:00,0,1
5H66,NWMILSC,2016-03-29 23:59:00,156464,1,2.41666666666667,2016-03-30 00:12:00,2016-03-30 00:08:50,0.75,0.125
2V23,ILKLEY,2016-03-30 10:38:00,158755,1,-2.76666666666667,2016-03-30 11:12:46,2016-03-30 11:10:00,0,0.0909090909090909
2F11,MNCROXR,2016-03-30 11:14:00,156455,2,0.833333333333333,2016-03-30 11:17:00,2016-03-30 11:12:50,3.04166666666667,0.2
2S27,SKPT,2016-03-30 11:31:00,158848,1,3.73333333333333,2016-03-30 11:30:00,2016-03-30 11:26:16,0,0.333333333333333
2M06,LEEDS,2016-03-30 10:18:00,153378,1,-2.76666666666667,2016-03-30 11:25:46,2016-03-30 11:23:00,0,0.0625
2B13,LEEDS,2016-03-30 11:21:00,158755,1,4.73333333333333,2016-03-30 11:20:00,2016-03-30 11:15:16,0,0.142857142857143
5W31,GTSHDMC,2016-03-30 11:23:00,156480,1,-3.08333333333333,2016-03-30 11:32:15,2016-03-30 11:28:00,1.16666666666667,0.5
1Y20,NTNG,2016-03-30 10:17:00,158791,1,-3.78333333333333,2016-03-30 11:09:47,2016-03-30 11:06:00,0,0.0476190476190476
2H33,SKPT,2016-03-30 10:47:00,158793,3,0.2,2016-03-30 11:09:00,2016-03-30 11:06:00,3.625,0.1875
5J93,SBYD,2016-03-29 23:38:00,150223,1,-1.2,2016-03-30 00:04:17,2016-03-30 00:03:00,0.0833333333333333,1
2J78,SOUTHPT,2016-03-30 10:51:00,150142,2,3.9,2016-03-30 11:29:00,2016-03-30 11:24:01,1.91666666666667,0.153846153846154
2M08,LEEDS,2016-03-30 11:18:00,158755,4,3.48333333333333,2016-03-30 11:38:00,2016-03-30 11:15:16,0.458333333333333,0.666666666666667
5H67,MNCRPIC,2016-03-30 00:14:00,156464,1,4.33333333333333,2016-03-30 00:08:00,2016-03-30 00:03:40,0,0.25
2S67,SHEFFLD,2016-03-29 22:48:00,156482,1,-1.61666666666667,2016-03-30 00:05:37,2016-03-30 00:03:00,1,0.5
1Y20,NTNG,2016-03-30 10:17:00,158842,2,-3.51666666666667,2016-03-30 11:28:01,2016-03-30 11:24:00,0.5,0.0952380952380952
2J18,HDRSFLD,2016-03-30 10:59:00,150143,2,2.43333333333333,2016-03-30 11:35:00,2016-03-30 11:30:54,1.66666666666667,0.117647058823529
2S25,SHEFFLD,2016-03-30 10:14:00,150132,1,-4.13333333333333,2016-03-30 11:16:08,2016-03-30 11:12:00,0,0.0454545454545455
2B13,LEEDS,2016-03-30 11:21:00,150143,2,1.18333333333333,2016-03-30 11:24:00,2016-03-30 11:19:54,2.91666666666667,0.285714285714286
5T54,BLKB,2016-03-29 23:22:00,150146,5,2.33333333333333,2016-03-30 00:20:00,2016-03-30 00:01:00,4.73333333333333,1
5J42,MNCROXR,2016-03-29 23:48:00,156464,2,-4.83333333333333,2016-03-30 00:42:50,2016-03-30 00:04:00,0,0.4
5N56,BLKB,2016-03-29 23:47:00,150117,6,-0.266666666666667,2016-03-30 00:42:00,2016-03-30 00:08:00,0.958333333333333,0.857142857142857
