headcode,origin_location,origin_departure,gps_car_id,total_matching,median_time_error,end,start,iqr_time_error,matched_over_total
1S06,KNGX,2015-03-17 07:30:00,82225,1,-1.325,2015-03-17 07:37:35,2015-03-17 07:36:00,0.258333333333333,0.0909090909090909
1S06,KNGX,2015-03-17 07:30:00,82220,1,3.8,2015-03-17 07:39:37,2015-03-17 07:31:02,3.42083333333333,0.0909090909090909
1A06,LEEDS,2015-03-17 06:40:00,82200,1,-1.21666666666667,2015-03-17 07:59:13,2015-03-17 07:58:00,0,0.0476190476190476
1S06,KNGX,2015-03-17 07:30:00,82223,1,0.0833333333333333,2015-03-17 07:40:00,2015-03-17 07:39:55,0,0.0909090909090909
1Y08,NWCSTLE,2015-03-17 06:00:00,82200,1,1.78333333333333,2015-03-17 08:01:00,2015-03-17 07:59:13,0,0.0357142857142857
1D04,KNGX,2015-03-17 07:35:00,82228,1,0.0583333333333333,2015-03-17 07:41:23,2015-03-17 07:37:48,2.55833333333333,0.1
1Y05,NWCSTLE,2015-03-17 05:25:00,82231,2,1.425,2015-03-17 07:50:00,2015-03-17 07:46:42,1.125,0.0571428571428571
1A06,LEEDS,2015-03-17 06:40:00,40704,5,-3.2,2015-03-17 08:00:57,2015-03-17 07:37:00,0.483333333333333,0.238095238095238
1D02,KNGX,2015-03-17 06:30:00,40742,1,4.73333333333333,2015-03-17 07:51:00,2015-03-17 07:46:16,0,0.0416666666666667
1A02,LEEDS,2015-03-17 05:30:00,82220,1,1.3,2015-03-17 07:45:47,2015-03-17 07:39:37,3.08333333333333,0.0285714285714286
1D04,KNGX,2015-03-17 07:35:00,82222,2,2.53333333333333,2015-03-17 07:53:00,2015-03-17 07:48:28,2,0.2
1A04,LEEDS,2015-03-17 06:05:00,82208,1,3.41666666666667,2015-03-17 08:00:00,2015-03-17 07:56:35,0,0.037037037037037
1S07,KNGX,2015-03-17 08:00:00,82220,1,2.41666666666667,2015-03-17 08:04:00,2015-03-17 08:01:35,0,0.333333333333333
1A07,BRADFS,2015-03-17 06:30:00,40742,2,0.05,2015-03-17 07:46:16,2015-03-17 07:44:38,0.316666666666667,0.0833333333333333
1Y05,NWCSTLE,2015-03-17 05:25:00,82208,1,-1.98333333333333,2015-03-17 08:03:59,2015-03-17 08:02:00,0,0.0285714285714286
1S02,DONC,2015-03-17 06:15:00,82219,1,3.05,2015-03-17 07:38:00,2015-03-17 07:34:57,0,0.0434782608695652
1B81,LINCLNC,2015-03-17 07:20:00,82229,1,3.21666666666667,2015-03-17 07:45:00,2015-03-17 07:41:47,0,0.2
1A07,BRADFS,2015-03-17 06:30:00,82217,1,3.21666666666667,2015-03-17 07:45:00,2015-03-17 07:41:47,0,0.0416666666666667
1N80,KNGX,2015-03-17 07:08:00,40702,1,2.81666666666667,2015-03-17 07:51:00,2015-03-17 07:48:11,0,0.0625
1D02,KNGX,2015-03-17 06:30:00,82209,1,-2.18333333333333,2015-03-17 08:04:11,2015-03-17 08:02:00,0,0.0416666666666667
1S06,KNGX,2015-03-17 07:30:00,82203,1,0.933333333333333,2015-03-17 08:03:00,2015-03-17 08:02:04,0,0.0909090909090909
1Y03,NWCSTLE,2015-03-17 04:45:00,82208,3,-0.583333333333333,2015-03-17 07:50:43,2015-03-17 07:46:00,4.00833333333333,0.0714285714285714
1S03,LEEDS,2015-03-17 07:10:00,82201,1,4.35,2015-03-17 07:51:00,2015-03-17 07:46:39,0,0.0769230769230769
1S06,KNGX,2015-03-17 07:30:00,40702,1,-4.31666666666667,2015-03-17 08:00:19,2015-03-17 07:56:00,0,0.0909090909090909
1B81,LINCLNC,2015-03-17 07:20:00,40704,2,3.925,2015-03-17 07:45:00,2015-03-17 07:39:43,0.641666666666667,0.4
1D02,KNGX,2015-03-17 06:30:00,40708,1,2.86666666666667,2015-03-17 08:02:00,2015-03-17 07:59:08,0,0.0416666666666667
1D02,KNGX,2015-03-17 06:30:00,40704,1,4.8,2015-03-17 07:49:00,2015-03-17 07:44:12,0,0.0416666666666667
1A12,HULL,2015-03-17 07:00:00,82217,2,-3,2015-03-17 08:04:14,2015-03-17 08:01:00,0.233333333333333,0.166666666666667
1Y03,NWCSTLE,2015-03-17 04:45:00,82216,1,4.56666666666667,2015-03-17 07:54:00,2015-03-17 07:49:26,0,0.0238095238095238
1A06,LEEDS,2015-03-17 06:40:00,82217,3,-2.98333333333333,2015-03-17 07:41:00,2015-03-17 07:35:00,3.57916666666667,0.142857142857143
1Y11,NWCSTLE,2015-03-17 06:30:00,40732,2,0.85,2015-03-17 07:37:47,2015-03-17 07:32:31,4.26666666666667,0.0869565217391304
1S06,KNGX,2015-03-17 07:30:00,82222,3,-0.466666666666667,2015-03-17 07:50:28,2015-03-17 07:46:00,4.16666666666667,0.272727272727273
1A07,BRADFS,2015-03-17 06:30:00,82211,1,4.71666666666667,2015-03-17 07:36:00,2015-03-17 07:31:17,0,0.0416666666666667
1D04,KNGX,2015-03-17 07:35:00,82220,1,0.383333333333333,2015-03-17 07:40:00,2015-03-17 07:39:37,0,0.1
1D03,KNGX,2015-03-17 07:05:00,82229,1,-0.0166666666666667,2015-03-17 07:58:01,2015-03-17 07:58:00,0,0.0625
1S03,LEEDS,2015-03-17 07:10:00,82209,2,-1.91666666666667,2015-03-17 07:37:00,2015-03-17 07:31:00,3,0.153846153846154
1E02,EDINBUR,2015-03-17 05:48:00,82212,1,-3.4,2015-03-17 07:38:24,2015-03-17 07:35:00,0,0.0357142857142857
1Y11,NWCSTLE,2015-03-17 06:30:00,82215,1,1.31666666666667,2015-03-17 08:04:00,2015-03-17 08:02:41,0,0.0434782608695652
1A02,LEEDS,2015-03-17 05:30:00,82216,1,3.2,2015-03-17 07:44:00,2015-03-17 07:40:48,0,0.0285714285714286
1A09,LEEDS,2015-03-17 07:15:00,82215,1,-3.68333333333333,2015-03-17 08:02:41,2015-03-17 07:59:00,0,0.0769230769230769
1S02,DONC,2015-03-17 06:15:00,82230,1,-3.78333333333333,2015-03-17 07:51:47,2015-03-17 07:48:00,0,0.0434782608695652
1A06,LEEDS,2015-03-17 06:40:00,82231,1,2.95,2015-03-17 07:58:00,2015-03-17 07:55:03,0,0.0476190476190476
1D01,KNGX,2015-03-17 05:50:00,40708,2,-2.93333333333333,2015-03-17 07:48:06,2015-03-17 07:43:00,1.08333333333333,0.0571428571428571
